Delivery_ID,Order_ID,Dispatch_Date,Delivery_Date,Carrier,Delivery_Status
DEL00052,ORD00052,2025-09-07,2025-09-14,Ecom Express,Delayed
DEL00053,ORD00053,2025-12-12,2025-12-14,Xpressbees,Delivered
DEL00054,ORD00054,2025-04-08,2025-04-12,Ecom Express,Delivered
DEL00055,ORD00055,2025-06-10,2025-06-14,Blue Dart,Delivered
DEL00056,ORD00056,2025-10-09,2025-10-16,blue dart,Delayed
DEL00057,ORD00057,2024-12-19,2024-12-21,Delhivery,Delivered
DEL00058,ORD00058,2025-05-30,2025-06-02,DTDC,Delivered
DEL00059,ORD00059,2025-05-08,2025-05-14,Blue Dart,Delivered
DEL00060,ORD00060,2025-06-30,2025-07-08,Delhivery,Delayed
DEL00061,ORD00061,2024-05-29,2024-06-02,Blue Dart,Delivered
DEL00062,ORD00062,2024-10-20,2024-10-25,DTDC,Delivered
DEL00063,ORD00063,2024-07-29,2024-08-02,Delhivery,Delivered
DEL00064,ORD00064,2025-09-22,2025-09-27,Xpressbees,Delivered
DEL00065,ORD00065,2024-09-01,2024-09-04,Blue Dart,Delivered
DEL00066,ORD00066,2025-02-02,2025-02-04,Delhivery,Delivered
DEL00067,ORD00067,2024-07-28,2024-08-03,DTDC,Delivered
DEL00068,ORD00068,2025-01-13,2025-01-17,DTDC,Delivered
DEL00069,ORD00069,2024-07-17,2024-07-21,Ecom Express,Delivered
DEL00070,ORD00070,2025-06-12,2025-06-15,Blue Dart,Delivered
DEL00071,ORD00071,2024-05-13,2024-05-16,Xpressbees,Delivered
DEL00072,ORD00072,2024-06-09,2024-06-13,DTDC,Delivered
DEL00073,ORD00073,2025-09-24,2025-09-27,Delhivery,Delivered
DEL00074,ORD00074,2025-12-27,2025-12-30,DTDC,Delivered
DEL00075,ORD00075,2025-06-03,2025-06-07,DTDC,Delivered
DEL00076,ORD00076,2024-08-16,2024-08-18,Ecom Express,Delivered
DEL00077,ORD00077,2024-08-11,2024-08-20,Xpressbees,Delayed
DEL00078,ORD00078,2025-10-27,2025-11-01,Blue Dart,Delivered
DEL00079,ORD00079,2025-09-22,2025-09-29,DTDC,Delayed
DEL00080,ORD00080,2025-01-25,2025-01-29,Xpressbees,Delivered
DEL00081,ORD00081,2024-01-26,2024-01-30,Ecom Express,Delivered
DEL00082,ORD00082,2025-04-03,2025-04-07,DTDC,Delivered
DEL00083,ORD00083,2024-03-27,2024-04-01,Ecom Express,Delivered
DEL00084,ORD00084,2025-10-04,2025-10-07,Ecom Express,Delivered
DEL00085,ORD00085,2025-12-03,2025-12-06,Blue Dart,Delivered
DEL00086,ORD00086,2025-03-22,2025-03-25,Delhivery,Delivered
DEL00087,ORD00087,2024-12-07,2024-12-10,Xpressbees,Delivered
DEL00088,ORD00088,2025-07-27,2025-08-02,Ecom Express,Delivered
DEL00089,ORD00089,2025-10-08,2025-10-13,Ecom Express,Delivered
DEL00090,ORD00090,2025-07-02,2025-07-08,DTDC,Delivered
DEL00091,ORD00091,2025-12-18,2025-12-23,Blue Dart,Delivered
DEL00092,ORD00092,2025-12-05,2025-12-08,Ecom Express,Delivered
DEL00093,ORD00093,2025-01-27,2025-02-01,DTDC,Delivered
DEL00094,ORD00094,2025-02-04,2025-02-12,DTDC,Delayed
DEL00095,ORD00095,2025-10-26,2025-11-03,DTDC,Delayed
DEL00096,ORD00096,2024-01-08,2024-01-10,DTDC,Delivered
DEL00097,ORD00097,2024-11-10,2024-11-16,Xpressbees,Delivered
DEL00098,ORD00098,2025-06-09,2025-06-13,Ecom Express,Delivered
DEL00099,ORD00099,2024-07-18,2024-07-22,Delhivery,Delivered
DEL00100,ORD00100,2025-07-18,2025-07-22,Xpressbees,Delivered
DEL00101,ORD00101,2024-04-12,2024-04-21,DTDC,Delayed
DEL00102,ORD00102,2025-11-02,2025-11-05,DTDC,Delivered
DEL00103,ORD00103,2024-11-22,2024-12-01,Delhivery,Delayed
DEL00104,ORD00104,2025-08-22,2025-08-27,Xpressbees,Delivered
DEL00105,ORD00105,2024-06-23,2024-06-26,Xpressbees,Delivered
DEL00106,ORD00106,2025-03-24,2025-03-29,Xpressbees,Delivered
DEL00107,ORD00107,2025-04-19,2025-04-27,Blue Dart,Delayed
DEL00108,ORD00108,2024-06-30,2024-07-04,Delhivery,Delivered
DEL00109,ORD00109,2025-07-06,2025-07-11,Blue Dart,Delivered
DEL00110,ORD00110,2024-01-21,2024-01-25,Delhivery,Delivered
DEL00111,ORD00111,2025-02-19,2025-02-23,Delhivery,Delivered
DEL00112,ORD00112,2025-07-06,2025-07-08,DTDC,Delivered
DEL00113,ORD00113,2025-08-27,2025-08-30,Delhivery,Delivered
DEL00114,ORD00114,2025-02-10,2025-02-13,DTDC,Delivered
DEL00115,ORD00115,2025-09-22,2025-09-25,DTDC,Delivered
DEL00116,ORD00116,2024-07-03,2024-07-08,Blue Dart,Delivered
DEL00117,ORD00117,2025-01-04,2025-01-06,Blue Dart,Delivered
DEL00118,ORD00118,2025-01-13,2025-01-21,Xpressbees,Delayed
DEL00119,ORD00119,2025-01-05,2025-01-07,Xpressbees,Delivered
DEL00120,ORD00120,2024-11-27,2024-11-30,Ecom Express,Delivered
DEL00121,ORD00121,2025-08-15,2025-08-18,Xpressbees,Delivered
DEL00122,ORD00122,2025-08-24,2025-08-27,Blue Dart,Delivered
DEL00123,ORD00123,2025-06-12,2025-06-14,Delhivery,Delivered
DEL00124,ORD00124,2024-01-07,2024-01-10,Xpressbees,Delivered
DEL00125,ORD00125,2025-10-20,2025-10-23,DTDC,Delivered
DEL00126,ORD00126,2024-05-02,2024-05-09,DTDC,Delayed
DEL00127,ORD00127,2025-11-22,2025-11-27,Ecom Express,Delivered
DEL00128,ORD00128,2025-02-25,2025-02-28,Xpressbees,Delivered
DEL00129,ORD00129,2024-05-17,2024-05-25,Delhivery,Delayed
DEL00130,ORD00130,2024-09-21,2024-09-23,Blue Dart,Delivered
DEL00131,ORD00131,2025-10-15,2025-10-18,Delhivery,Delivered
DEL00132,ORD00132,2025-05-09,2025-05-18,Ecom Express,Delayed
DEL00133,ORD00133,2024-07-06,2024-07-10,Xpressbees,Delivered
DEL00134,ORD00134,2025-04-10,2025-04-12,Delhivery,Delivered
DEL00135,ORD00135,2024-04-21,2024-04-25,Delhivery,Delivered
DEL00136,ORD00136,2024-06-04,2024-06-08,Delhivery,Delivered
DEL00137,ORD00137,2024-02-10,2024-02-15,Blue Dart,Delivered
DEL00138,ORD00138,2025-11-07,2025-11-10,Xpressbees,Delivered
DEL00139,ORD00139,2025-11-27,2025-11-30,Delhivery,Delivered
DEL00140,ORD00140,2025-12-15,2025-12-22,DTDC,Delayed
DEL00141,ORD00141,2024-12-26,2024-12-29,Blue Dart,Delivered
DEL00142,ORD00142,2024-08-27,2024-08-30,Ecom Express,Delivered
DEL00143,ORD00143,2024-09-21,2024-09-25,Ecom Express,Delivered
DEL00144,ORD00144,2025-06-19,2025-06-24,Ecom Express,Delivered
DEL00145,ORD00145,2024-11-20,2024-11-23,Ecom Express,Delivered
DEL00146,ORD00146,2024-09-18,2024-09-21,Delhivery,Delivered
DEL00147,ORD00147,2025-11-28,2025-12-01,Ecom Express,Delivered
DEL00148,ORD00148,2024-07-03,2024-07-05,Xpressbees,Delivered
DEL00149,ORD00149,2025-08-15,2025-08-20,DTDC,Delivered
DEL00150,ORD00150,2024-05-03,2024-05-06,Delhivery,Delivered
DEL00151,ORD00151,2024-08-07,2024-08-11,Xpressbees,Delivered
DEL00152,ORD00152,2025-12-25,2026-01-01,Delhivery,Delayed
DEL00153,ORD00153,2024-05-30,2024-06-04,Blue Dart,Delivered
DEL00154,ORD00154,2025-01-15,2025-01-20,Xpressbees,Delivered
DEL00155,ORD00155,2025-09-20,2025-09-22,Delhivery,Delivered
DEL00156,ORD00156,2024-06-30,2024-07-05,Delhivery,Delivered
DEL00157,ORD00157,2025-06-15,2025-06-19,Delhivery,Delivered
DEL00158,ORD00158,2024-08-26,2024-09-02,DTDC,Delayed
DEL00159,ORD00159,2024-01-01,2024-01-03,Delhivery,Delivered
DEL00160,ORD00160,2025-11-16,2025-11-18,Xpressbees,Delivered
DEL00161,ORD00161,2025-12-22,2025-12-30,Blue Dart,Delayed
DEL00162,ORD00162,2025-08-20,2025-08-22,DTDC,Delivered
DEL00163,ORD00163,2025-04-10,2025-04-13,Xpressbees,Delivered
DEL00164,ORD00164,2025-06-02,2025-06-10,Blue Dart,Delayed
DEL00165,ORD00165,2025-06-10,2025-06-15,Delhivery,Delivered
DEL00166,ORD00166,2025-01-21,2025-01-23,DTDC,Delivered
DEL00167,ORD00167,2025-04-14,2025-04-17,DTDC,Delivered
DEL00168,ORD00168,2024-03-10,2024-03-14,DTDC,Delivered
DEL00169,ORD00169,2025-02-27,2025-03-06,Blue Dart,Delayed
DEL00170,ORD00170,2024-09-27,2024-09-29,Blue Dart,Delivered
DEL00171,ORD00171,2024-12-18,2024-12-22,Delhivery,Delivered
DEL00172,ORD00172,2025-08-12,2025-08-18,DTDC,Delivered
DEL00173,ORD00173,2025-05-27,2025-05-31,Blue Dart,Delivered
DEL00174,ORD00174,2024-08-01,2024-08-05,DTDC,Delivered
DEL00175,ORD00175,2024-04-20,2024-04-26,DTDC,Delivered
DEL00176,ORD00176,2025-07-08,2025-07-10,Ecom Express,Delivered
DEL00177,ORD00177,2025-08-11,2025-08-13,Blue Dart,Delivered
DEL00178,ORD00178,2024-10-13,2024-10-15,Xpressbees,Delivered
DEL00179,ORD00179,2025-03-09,2025-03-16,DTDC,Delayed
DEL00180,ORD00180,2025-12-03,2025-12-10,DTDC,Delayed
DEL00181,ORD00181,2024-11-19,2024-11-24,Xpressbees,Delivered
DEL00182,ORD00182,2024-04-15,2024-04-18,Xpressbees,Delivered
DEL00183,ORD00183,2024-08-30,2024-09-02,DTDC,Delivered
DEL00184,ORD00184,2025-03-12,2025-03-15,DTDC,Delivered
DEL00185,ORD00185,2025-02-16,2025-02-23,Delhivery,Delayed
DEL00186,ORD00186,2025-12-05,2025-12-13,Blue Dart,Delayed
DEL00187,ORD00187,2025-03-19,2025-03-21,Delhivery,Delivered
DEL00188,ORD00188,2024-06-04,2024-06-09,Blue Dart,Delivered
DEL00189,ORD00189,2025-10-07,2025-10-16,Delhivery,Delayed
DEL00190,ORD00190,2024-09-14,2024-09-23,DTDC,Delayed
DEL00191,ORD00191,2024-03-02,2024-03-09,Ecom Express,Delayed
DEL00192,ORD00192,2024-12-09,2024-12-14,Ecom Express,Delivered
DEL00193,ORD00193,2024-09-22,2024-09-26,Delhivery,Delivered
DEL00194,ORD00194,2025-09-14,2025-09-21,Xpressbees,Delayed
DEL00195,ORD00195,2024-10-19,2024-10-21,DTDC,Delivered
DEL00196,ORD00196,2025-04-03,2025-04-09,Blue Dart,Delivered
DEL00197,ORD00197,2024-05-30,2024-06-02,Ecom Express,Delivered
DEL00198,ORD00198,2025-08-09,2025-08-11,Ecom Express,Delivered
DEL00199,ORD00199,2024-11-21,2024-11-23,Xpressbees,Delivered
DEL00200,ORD00200,2024-10-04,2024-10-08,Xpressbees,Delivered
DEL00201,ORD00201,2025-04-08,2025-04-11,Xpressbees,Delivered
DEL00202,ORD00202,2025-11-10,2025-11-17,Ecom Express,Delayed
DEL00203,ORD00203,2024-03-06,2024-03-09,DTDC,Delivered
DEL00204,ORD00204,2025-06-21,2025-06-24,Xpressbees,Delivered
DEL00205,ORD00205,2025-11-02,2025-11-06,Blue Dart,Delivered
DEL00206,ORD00206,2025-03-30,2025-04-01,DTDC,Delivered
DEL00207,ORD00207,2024-02-07,2024-02-11,Xpressbees,Delivered
DEL00208,ORD00208,2025-07-07,2025-07-11,Delhivery,Delivered
DEL00209,ORD00209,2025-07-07,2025-07-11,DTDC,Delivered
DEL00210,ORD00210,2025-07-31,2025-08-04,Delhivery,Delivered
DEL00211,ORD00211,2025-05-09,2025-05-14,Blue Dart,Delivered
DEL00212,ORD00212,2024-09-25,2024-09-29,Xpressbees,Delivered
DEL00213,ORD00213,2024-05-20,2024-05-22,Blue Dart,Delivered
DEL00214,ORD00214,2025-05-03,2025-05-06,Xpressbees,Delivered
DEL00215,ORD00215,2024-08-24,2024-08-28,Xpressbees,Delivered
DEL00216,ORD00216,2025-03-23,2025-03-26,Xpressbees,Delivered
DEL00217,ORD00217,2025-01-24,2025-01-28,Delhivery,Delivered
DEL00218,ORD00218,2025-09-19,2025-09-24,Xpressbees,Delivered
DEL00219,ORD00219,2024-10-03,2024-10-06,Xpressbees,Delivered
DEL00220,ORD00220,2025-10-16,2025-10-22,Blue Dart,Delivered
DEL00221,ORD00221,2024-07-11,2024-07-15,DTDC,Delivered
DEL00222,ORD00222,2024-07-09,2024-07-16,Delhivery,Delayed
DEL00223,ORD00223,2024-01-10,2024-01-12,Ecom Express,Delivered
DEL00224,ORD00224,2025-03-06,2025-03-15,Ecom Express,Delayed
DEL00225,ORD00225,2024-12-04,2024-12-10,Blue Dart,Delivered
DEL00226,ORD00226,2025-07-10,2025-07-14,Blue Dart,Delivered
DEL00227,ORD00227,2024-01-15,2024-01-19,Ecom Express,Delivered
DEL00228,ORD00228,2024-02-06,2024-02-08,Xpressbees,Delivered
DEL00229,ORD00229,2024-08-01,2024-08-09,Blue Dart,Delayed
DEL00230,ORD00230,2025-10-07,2025-10-09,DTDC,Delivered
DEL00231,ORD00231,2025-05-09,2025-05-14,Xpressbees,Delivered
DEL00232,ORD00232,2025-11-13,2025-11-16,Blue Dart,Delivered
DEL00233,ORD00233,2024-06-21,2024-06-25,Blue Dart,Delivered
DEL00234,ORD00234,2024-01-12,2024-01-20,Xpressbees,Delayed
DEL00235,ORD00235,2024-06-08,2024-06-10,Delhivery,Delivered
DEL00236,ORD00236,2025-09-25,2025-09-28,DTDC,Delivered
DEL00237,ORD00237,2025-07-05,2025-07-08,Xpressbees,Delivered
DEL00238,ORD00238,2025-10-24,2025-10-27,Delhivery,Delivered
DEL00239,ORD00239,2025-01-23,2025-01-31,Xpressbees,Delayed
DEL00240,ORD00240,2025-07-26,2025-07-31,Ecom Express,Delivered
DEL00241,ORD00241,2025-07-10,2025-07-12,DTDC,Delivered
DEL00242,ORD00242,2025-09-05,2025-09-07,Xpressbees,Delivered
DEL00243,ORD00243,2024-10-29,2024-11-04,Xpressbees,Delivered
DEL00244,ORD00244,2025-10-17,2025-10-22,Blue Dart,Delivered
DEL00245,ORD00245,2025-01-09,2025-01-11,Ecom Express,Delivered
DEL00246,ORD00246,2025-07-05,2025-07-07,Ecom Express,Delivered
DEL00247,ORD00247,2025-07-20,2025-07-24,Delhivery,Delivered
DEL00248,ORD00248,2024-04-25,2024-04-30,Delhivery,Delivered
DEL00249,ORD00249,2024-07-01,2024-07-03,Delhivery,Delivered
DEL00250,ORD00250,2024-02-04,2024-02-11,Xpressbees,Delayed
DEL00251,ORD00251,2025-08-28,2025-09-04,DTDC,Delayed
DEL00252,ORD00252,2024-01-15,2024-01-18,Xpressbees,Delivered
DEL00253,ORD00253,2024-03-24,2024-03-29,Ecom Express,Delivered
DEL00254,ORD00254,2025-01-14,2025-01-17,DTDC,Delivered
DEL00255,ORD00255,2024-03-14,2024-03-17,Xpressbees,Delivered
DEL00256,ORD00256,2024-04-15,2024-04-18,Delhivery,Delivered
DEL00257,ORD00257,2025-11-04,2025-11-06,DTDC,Delivered
DEL00258,ORD00258,2025-03-03,2025-03-06,Delhivery,Delivered
DEL00259,ORD00259,2025-04-14,2025-04-17,Xpressbees,Delivered
DEL00260,ORD00260,2025-02-16,2025-02-18,Delhivery,Delivered
DEL00261,ORD00261,2025-03-30,2025-04-02,Ecom Express,Delivered
DEL00262,ORD00262,2025-01-15,2025-01-22,Delhivery,Delayed
DEL00263,ORD00263,2025-07-12,2025-07-16,DTDC,Delivered
DEL00264,ORD00264,2025-01-03,2025-01-10,Xpressbees,Delayed
DEL00265,ORD00265,2024-10-19,2024-10-24,DTDC,Delivered
DEL00266,ORD00266,2024-01-08,2024-01-11,Blue Dart,Delivered
DEL00267,ORD00267,2025-12-09,2025-12-14,Xpressbees,Delivered
DEL00268,ORD00268,2024-06-07,2024-06-13,Ecom Express,Delivered
DEL00269,ORD00269,2025-01-11,2025-01-15,Blue Dart,Delivered
DEL00270,ORD00270,2024-04-05,2024-04-08,Blue Dart,Delivered
DEL00271,ORD00271,2024-11-29,2024-12-03,DTDC,Delivered
DEL00272,ORD00272,2025-12-22,2025-12-25,DTDC,Delivered
DEL00273,ORD00273,2025-08-13,2025-08-16,DTDC,Delivered
DEL00274,ORD00274,2024-12-24,2024-12-26,Blue Dart,Delivered
DEL00275,ORD00275,2025-10-30,2025-11-07,Ecom Express,Delayed
DEL00276,ORD00276,2024-02-27,2024-03-01,Ecom Express,Delivered
DEL00277,ORD00277,2024-12-02,2024-12-04,Ecom Express,Delivered
DEL00278,ORD00278,2025-04-02,2025-04-05,Ecom Express,Delivered
DEL00279,ORD00279,2024-10-23,2024-10-27,DTDC,Delivered
DEL00280,ORD00280,2025-08-10,2025-08-13,Delhivery,Delivered
DEL00281,ORD00281,2025-05-29,2025-06-01,Delhivery,Delivered
DEL00282,ORD00282,2025-05-15,2025-05-17,Xpressbees,Delivered
DEL00283,ORD00283,2025-06-22,2025-06-26,Blue Dart,Delivered
DEL00284,ORD00284,2025-12-02,2025-12-04,Blue Dart,Delivered
DEL00285,ORD00285,2025-01-11,2025-01-15,Blue Dart,Delivered
DEL00286,ORD00286,2024-11-10,2024-11-13,Xpressbees,Delivered
DEL00287,ORD00287,2024-02-17,2024-02-21,Ecom Express,Delivered
DEL00288,ORD00288,2024-03-30,2024-04-02,Delhivery,Delivered
DEL00289,ORD00289,2024-10-21,2024-10-24,DTDC,Delivered
DEL00290,ORD00290,2024-01-25,2024-01-27,Delhivery,Delivered
DEL00291,ORD00291,2025-06-19,2025-06-25,Xpressbees,Delivered
DEL00292,ORD00292,2025-12-14,2025-12-19,Ecom Express,Delivered
DEL00293,ORD00293,2024-02-16,2024-02-24,DTDC,Delayed
DEL00294,ORD00294,2025-09-24,2025-10-01,Blue Dart,Delayed
DEL00295,ORD00295,2025-02-01,2025-02-03,Xpressbees,Delivered
DEL00296,ORD00296,2024-01-21,2024-01-23,DTDC,Delivered
DEL00297,ORD00297,2024-04-12,2024-04-17,Delhivery,Delivered
DEL00298,ORD00298,2024-07-22,2024-07-25,Ecom Express,Delivered
DEL00299,ORD00299,2025-06-27,2025-07-01,Delhivery,Delivered
DEL00300,ORD00300,2024-12-23,2024-12-27,Xpressbees,Delivered
DEL00301,ORD00301,2024-10-11,2024-10-18,delhivery,Delayed
DEL00302,ORD00302,2024-01-31,2024-02-09,Ecom Express,Delayed
DEL00303,ORD00303,2025-11-04,2025-11-13,Ecom Express,Delayed
DEL00304,ORD00304,2025-09-21,2025-09-26,Ecom Express,Delivered
DEL00305,ORD00305,2024-11-16,2024-11-19,Blue Dart,Delivered
DEL00306,ORD00306,2025-10-31,2025-11-02,Delhivery,Delivered
DEL00307,ORD00307,2024-05-22,2024-05-30,Xpressbees,Delayed
DEL00308,ORD00308,2024-05-30,2024-06-03,Ecom Express,Delivered
DEL00309,ORD00309,2024-05-03,2024-05-07,Delhivery,Delivered
DEL00310,ORD00310,2025-02-27,2025-03-02,Blue Dart,Delivered
DEL00311,ORD00311,2025-10-15,2025-10-17,Ecom Express,Delivered
DEL00312,ORD00312,2024-07-10,2024-07-12,Ecom Express,Delivered
DEL00313,ORD00313,2024-08-25,2024-08-31,DTDC,Delivered
DEL00314,ORD00314,2025-12-05,2025-12-08,Xpressbees,Delivered
DEL00315,ORD00315,2026-01-01,2026-01-09,DTDC,Delayed
DEL00316,ORD00316,2024-06-18,2024-06-22,DTDC,Delivered
DEL00317,ORD00317,2024-10-05,2024-10-09,Xpressbees,Delivered
DEL00318,ORD00318,2024-07-29,2024-08-01,Ecom Express,Delivered
DEL00319,ORD00319,2025-04-15,2025-04-18,Xpressbees,Delivered
DEL00320,ORD00320,2025-01-25,2025-02-03,Delhivery,Delayed
DEL00321,ORD00321,2025-09-01,2025-09-03,DTDC,Delivered
DEL00322,ORD00322,2024-04-21,2024-04-26,DTDC,Delivered
DEL00323,ORD00323,2024-02-12,2024-02-21,Xpressbees,Delayed
DEL00324,ORD00324,2024-07-13,2024-07-18,DTDC,Delivered
DEL00325,ORD00325,2025-04-18,2025-04-20,Xpressbees,Delivered
DEL00326,ORD00326,2025-06-14,2025-06-19,Blue Dart,Delivered
DEL00327,ORD00327,2025-05-29,2025-06-02,Ecom Express,Delivered
DEL00328,ORD00328,2025-07-14,2025-07-21,DTDC,Delayed
DEL00329,ORD00329,2025-04-11,2025-04-13,Delhivery,Delivered
DEL00330,ORD00330,2025-10-27,2025-11-02,DTDC,Delivered
DEL00331,ORD00331,2025-12-25,2025-12-31,Xpressbees,Delivered
DEL00332,ORD00332,2025-06-09,2025-06-12,Ecom Express,Delivered
DEL00333,ORD00333,2024-06-24,2024-06-26,Blue Dart,Delivered
DEL00334,ORD00334,2024-05-29,2024-06-01,Xpressbees,Delivered
DEL00335,ORD00335,2025-04-01,2025-04-06,Delhivery,Delivered
DEL00336,ORD00336,2025-09-29,2025-10-08,Xpressbees,Delayed
DEL00337,ORD00337,2025-07-10,2025-07-15,Ecom Express,Delivered
DEL00338,ORD00338,2025-11-08,2025-11-11,Blue Dart,Delivered
DEL00339,ORD00339,2024-01-08,2024-01-17,Blue Dart,Delayed
DEL00340,ORD00340,2024-08-01,2024-08-03,Delhivery,Delivered
DEL00341,ORD00341,2024-05-29,2024-06-02,Ecom Express,Delivered
DEL00342,ORD00342,2024-12-05,2024-12-08,Delhivery,Delivered
DEL00343,ORD00343,2024-06-15,2024-06-24,Delhivery,Delayed
DEL00344,ORD00344,2025-08-11,2025-08-16,Xpressbees,Delivered
DEL00345,ORD00345,2024-02-06,2024-02-10,Delhivery,Delivered
DEL00346,ORD00346,2024-03-11,2024-03-14,Ecom Express,Delivered
DEL00347,ORD00347,2024-05-05,2024-05-07,Blue Dart,Delivered
DEL00348,ORD00348,2025-12-13,2025-12-15,Blue Dart,Delivered
DEL00349,ORD00349,2025-06-25,2025-06-29,Blue Dart,Delivered
DEL00350,ORD00350,2025-12-25,2025-12-29,Delhivery,Delivered
DEL00351,ORD00351,2025-10-02,2025-10-09,DTDC,Delayed
DEL00352,ORD00352,2025-10-09,2025-10-16,Xpressbees,Delayed
DEL00353,ORD00353,2024-07-17,2024-07-20,Ecom Express,Delivered
DEL00354,ORD00354,2024-08-01,2024-08-05,DTDC,Delivered
DEL00355,ORD00355,2025-07-28,2025-08-01,Xpressbees,Delivered
DEL00356,ORD00356,2024-09-17,2024-09-20,Ecom Express,Delivered
DEL00357,ORD00357,2024-01-09,2024-01-15,Blue Dart,Delivered
DEL00358,ORD00358,2024-02-01,2024-02-09,Delhivery,Delayed
DEL00359,ORD00359,2025-05-07,2025-05-14,DTDC,Delayed
DEL00360,ORD00360,2025-10-04,2025-10-07,Blue Dart,Delivered
DEL00361,ORD00361,2024-02-27,2024-03-06,DTDC,Delayed
DEL00362,ORD00362,2025-07-24,2025-07-28,Xpressbees,Delivered
DEL00363,ORD00363,2024-12-30,2025-01-01,Ecom Express,Delivered
DEL00364,ORD00364,2025-10-05,2025-10-08,DTDC,Delivered
DEL00365,ORD00365,2024-05-01,2024-05-05,Ecom Express,Delivered
DEL00366,ORD00366,2025-02-27,2025-03-03,Delhivery,Delivered
DEL00367,ORD00367,2024-08-11,2024-08-17,Ecom Express,Delivered
DEL00368,ORD00368,2024-07-26,2024-08-02,Ecom Express,Delayed
DEL00369,ORD00369,2025-05-27,2025-05-29,Blue Dart,Delivered
DEL00370,ORD00370,2024-11-15,2024-11-18,Delhivery,Delivered
DEL00371,ORD00371,2025-06-14,2025-06-18,Xpressbees,Delivered
DEL00372,ORD00372,2025-12-31,2026-01-06,Delhivery,Delivered
